x,y,z
-9.074625,3.774311,0.0015
-9.050022,3.767999,0.0015
-9.112496,3.626691,0.0015
-9.087893,3.620379,0.0015
-9.099872,3.675898,0.0015
-9.075269,3.669586,0.0015
-9.134596,3.527015,0.0015
-9.10976,3.521694,0.0015
-9.123954,3.576687,0.0015
-9.099118,3.571367,0.0015
-9.15588,3.427669,0.0015
-9.131044,3.422348,0.0015
-9.145238,3.477342,0.0015
-9.120402,3.472021,0.0015
-9.177164,3.328323,0.0015
-9.152327,3.323002,0.0015
-9.166522,3.377996,0.0015
-9.141686,3.372675,0.0015
-9.192803,3.227094,0.0015
-9.167664,3.223464,0.0015
-9.185542,3.277373,0.0015
-9.160403,3.273742,0.0015
-9.207325,3.126537,0.0015
-9.182186,3.122907,0.0015
-9.200064,3.176816,0.0015
-9.174925,3.173185,0.0015
-9.221847,3.025981,0.0015
-9.196708,3.02235,0.0015
-9.214586,3.076259,0.0015
-9.189447,3.072629,0.0015
-9.231248,2.924095,0.0015
-9.205941,2.921925,0.0015
-9.226907,2.97471,0.0015
-9.2016,2.972539,0.0015
-9.239931,2.822867,0.0015
-9.214624,2.820696,0.0015
-9.23559,2.873481,0.0015
-9.210283,2.871311,0.0015
-9.248614,2.721639,0.0015
-9.223307,2.719468,0.0015
-9.244273,2.772253,0.0015
-9.218966,2.770082,0.0015
-9.250005,2.61908,0.0015
-9.224605,2.618886,0.0015
-9.249617,2.669878,0.0015
-9.224218,2.669685,0.0015
-9.250779,2.517483,0.0015
-9.22538,2.517289,0.0015
-9.250392,2.568281,0.0015
-9.224993,2.568088,0.0015
-9.251554,2.415886,0.0015
-9.226155,2.415692,0.0015
-9.251167,2.466684,0.0015
-9.225767,2.466491,0.0015
-9.241285,2.3134,0.0015
-9.216023,2.316045,0.0015
-9.246575,2.363924,0.0015
-9.221313,2.366569,0.0015
-9.230705,2.212353,0.0015
-9.205443,2.214998,0.0015
-9.235995,2.262877,0.0015
-9.210733,2.265522,0.0015
-9.219998,2.111298,0.0015
-9.194742,2.114006,0.0015
-9.225412,2.161798,0.0015
-9.200157,2.164505,0.0015
-9.1916,2.011483,0.0015
-9.167182,2.018478,0.0015
-9.205589,2.060319,0.0015
-9.181172,2.067313,0.0015
-9.163621,1.913811,0.0015
-9.139203,1.920806,0.0015
-9.17761,1.962647,0.0015
-9.153192,1.969642,0.0015
-9.134162,1.81639,0.0015
-9.10996,1.824099,0.0015
-9.149523,1.864619,0.0015
-9.125321,1.872327,0.0015
-9.079341,1.727192,0.0015
-9.05775,1.740571,0.0015
-9.106099,1.770373,0.0015
-9.084508,1.783752,0.0015
-9.025825,1.640828,0.0015
-9.004234,1.654207,0.0015
-9.052583,1.68401,0.0015
-9.030992,1.697389,0.0015
-8.968949,1.556136,0.0015
-8.948401,1.571066,0.0015
-8.998546,1.596871,0.0015
-8.977997,1.611801,0.0015
-8.889368,1.488233,0.0015
-8.872948,1.507612,0.0015
-8.928126,1.521072,0.0015
-8.911707,1.540451,0.0015
-8.811851,1.422554,0.0015
-8.795432,1.441933,0.0015
-8.85061,1.455393,0.0015
-8.83419,1.474772,0.0015
-8.732827,1.358086,0.0015
-8.71714,1.378063,0.0015
-8.772726,1.389415,0.0015
-8.75704,1.409393,0.0015
-8.647727,1.300878,0.0015
-8.633564,1.321962,0.0015
-8.689896,1.329205,0.0015
-8.675733,1.35029,0.0015
-8.56339,1.244224,0.0015
-8.549226,1.265308,0.0015
-8.605559,1.272551,0.0015
-8.591395,1.293635,0.0015
-8.478426,1.188157,0.0015
-8.464611,1.209472,0.0015
-8.521047,1.215782,0.0015
-8.507231,1.237096,0.0015
-8.391583,1.134829,0.0015
-8.378292,1.156475,0.0015
-8.434873,1.161411,0.0015
-8.421583,1.183056,0.0015
-8.305001,1.081667,0.0015
-8.291711,1.103313,0.0015
-8.348292,1.108248,0.0015
-8.335001,1.129894,0.0015
-8.218003,1.028923,0.0015
-8.204958,1.050717,0.0015
-8.261588,1.055012,0.0015
-8.248543,1.076806,0.0015
-8.130032,0.9777711,0.0015
-8.117265,0.999729,0.0015
-8.173948,1.003306,0.0015
-8.161181,1.025264,0.0015
-8.042201,0.9267008,0.0015
-8.029433,0.9486587,0.0015
-8.086117,0.9522359,0.0015
-8.073349,0.9741938,0.0015
-7.953808,0.8762234,0.0015
-7.941385,0.898378,0.0015
-7.998113,0.9010673,0.0015
-7.98569,0.9232219,0.0015
-7.864389,0.8276326,0.0015
-7.852262,0.8499505,0.0015
-7.909025,0.8518872,0.0015
-7.896897,0.8742051,0.0015
-7.775117,0.7791234,0.0015
-7.76299,0.8014413,0.0015
-7.819753,0.803378,0.0015
-7.807626,0.8256959,0.0015
-7.685088,0.7314694,0.0015
-7.673451,0.7540471,0.0015
-7.730236,0.754739,0.0015
-7.718599,0.7773166,0.0015
-7.593969,0.6861224,0.0015
-7.582652,0.7088622,0.0015
-7.639448,0.7087554,0.0015
-7.628132,0.7314952,0.0015
-7.50301,0.6408565,0.0015
-7.491693,0.6635963,0.0015
-7.548489,0.6634895,0.0015
-7.537173,0.6862292,0.0015
-7.41165,0.5960679,0.0015
-7.400605,0.6189408,0.0015
-7.457394,0.6181569,0.0015
-7.446349,0.6410299,0.0015
-7.319841,0.5523818,0.0015
-7.308927,0.5753176,0.0015
-7.365713,0.5742091,0.0015
-7.354799,0.5971449,0.0015
-7.228098,0.5087272,0.0015
-7.217184,0.531663,0.0015
-7.273969,0.5305545,0.0015
-7.263056,0.5534903,0.0015
-7.136053,0.4654425,0.0015
-7.125349,0.4884768,0.0015
-7.182121,0.4868506,0.0015
-7.171417,0.5098849,0.0015
-7.043745,0.4228992,0.0015
-7.033114,0.4459672,0.0015
-7.089881,0.4441625,0.0015
-7.07925,0.4672304,0.0015
-6.951474,0.3803728,0.0015
-6.940842,0.4034407,0.0015
-6.99761,0.401636,0.0015
-6.986978,0.424704,0.0015
-6.859111,0.3379598,0.0015
-6.848544,0.3610571,0.0015
-6.905306,0.3590949,0.0015
-6.894738,0.3821922,0.0015
-6.766687,0.2957459,0.0015
-6.756134,0.3188501,0.0015
-6.812895,0.3168511,0.0015
-6.802343,0.3399553,0.0015
-6.67427,0.2535354,0.0015
-6.663718,0.2766396,0.0015
-6.720479,0.2746407,0.0015
-6.709926,0.2977448,0.0015
-6.582083,0.21104,0.0015
-6.571369,0.2340699,0.0015
-6.628143,0.2324673,0.0015
-6.617429,0.2554972,0.0015
-6.490016,0.1681015,0.0015
-6.47928,0.191121,0.0015
-6.536055,0.1895733,0.0015
-6.525319,0.2125929,0.0015
-6.397938,0.1251577,0.0015
-6.387202,0.1481772,0.0015
-6.443977,0.1466296,0.0015
-6.433241,0.1696491,0.0015
-6.305912,0.08214887,0.0015
-6.29514,0.1051512,0.0015
-6.351917,0.1036944,0.0015
-6.341144,0.1266968,0.0015
-6.213908,0.03904985,0.0015
-6.203133,0.0620512,0.0015
-6.259911,0.06059961,0.0015
-6.249136,0.08360096,0.0015
-6.121903,-0.004049664,0.0015
-6.111128,0.01895168,0.0015
-6.167905,0.01750009,0.0015
-6.15713,0.04050144,0.0015
-6.031105,-0.04858976,0.0015
-6.019522,-0.0259845,0.0015
-6.076315,-0.02542408,0.0015
-6.064732,-0.00281882,0.0015
-5.940684,-0.09492113,0.0015
-5.929101,-0.07231587,0.0015
-5.985894,-0.07175544,0.0015
-5.974311,-0.04915018,0.0015
-5.850262,-0.1412525,0.0015
-5.83868,-0.1186472,0.0015
-5.895473,-0.1180868,0.0015
-5.88389,-0.09548155,0.0015
-5.761495,-0.1894613,0.0015
-5.748924,-0.1673904,0.0015
-5.805637,-0.1643187,0.0015
-5.793066,-0.1422478,0.0015
-5.673212,-0.2397465,0.0015
-5.66064,-0.2176757,0.0015
-5.717353,-0.2146039,0.0015
-5.704782,-0.1925331,0.0015
-5.584928,-0.2900317,0.0015
-5.572357,-0.2679609,0.0015
-5.62907,-0.2648891,0.0015
-5.616499,-0.2428183,0.0015
-5.496784,-0.3404709,0.0015
-5.484136,-0.3184438,0.0015
-5.540838,-0.3151752,0.0015
-5.52819,-0.2931481,0.0015
-5.408676,-0.3910623,0.0015
-5.396028,-0.3690353,0.0015
-5.45273,-0.3657666,0.0015
-5.440082,-0.3437395,0.0015
-5.320567,-0.4416537,0.0015
-5.307919,-0.4196267,0.0015
-5.364621,-0.416358,0.0015
-5.351974,-0.394331,0.0015
-5.23212,-0.4918589,0.0015
-5.219653,-0.4697291,0.0015
-5.276379,-0.4669244,0.0015
-5.263912,-0.4447946,0.0015
-5.143601,-0.5417279,0.0015
-5.131133,-0.5195981,0.0015
-5.18786,-0.5167934,0.0015
-5.175393,-0.4946636,0.0015
-5.055081,-0.5915968,0.0015
-5.042614,-0.569467,0.0015
-5.099341,-0.5666624,0.0015
-5.086874,-0.5445326,0.0015
-4.966213,-0.6410529,0.0015
-4.953927,-0.6188217,0.0015
-5.010675,-0.6164815,0.0015
-4.998389,-0.5942504,0.0015
-4.877288,-0.6901955,0.0015
-4.865003,-0.6679644,0.0015
-4.921751,-0.6656242,0.0015
-4.909465,-0.6433931,0.0015
-4.788364,-0.7393381,0.0015
-4.776078,-0.717107,0.0015
-4.832826,-0.7147668,0.0015
-4.82054,-0.6925357,0.0015
-4.699158,-0.7881364,0.0015
-4.687015,-0.765827,0.0015
-4.743776,-0.7638505,0.0015
-4.731633,-0.7415411,0.0015
-4.60992,-0.836708,0.0015
-4.597777,-0.8143986,0.0015
-4.654539,-0.8124222,0.0015
-4.642396,-0.7901128,0.0015
-4.520682,-0.8852797,0.0015
-4.508539,-0.8629703,0.0015
-4.565301,-0.8609939,0.0015
-4.553158,-0.8386845,0.0015
-4.431475,-0.9338897,0.0015
-4.419317,-0.9115885,0.0015
-4.476078,-0.9095739,0.0015
-4.46392,-0.8872726,0.0015
-4.342271,-0.9825215,0.0015
-4.330113,-0.9602203,0.0015
-4.386873,-0.9582056,0.0015
-4.374715,-0.9359044,0.0015
-4.253066,-1.031153,0.0015
-4.240908,-1.008852,0.0015
-4.297668,-1.006837,0.0015
-4.28551,-0.9845362,0.0015
-4.163927,-1.079869,0.0015
-4.151738,-1.057585,0.0015
-4.208495,-1.055491,0.0015
-4.196306,-1.033207,0.0015
-4.074791,-1.128626,0.0015
-4.062601,-1.106342,0.0015
-4.119359,-1.104248,0.0015
-4.10717,-1.081964,0.0015
-3.985654,-1.177383,0.0015
-3.973465,-1.155099,0.0015
-4.030222,-1.153005,0.0015
-4.018033,-1.130721,0.0015
-3.896586,-1.226229,0.0015
-3.884366,-1.203962,0.0015
-3.94112,-1.201788,0.0015
-3.9289,-1.179521,0.0015
-3.807519,-1.275111,0.0015
-3.795298,-1.252844,0.0015
-3.852053,-1.25067,0.0015
-3.839832,-1.228403,0.0015
-3.718451,-1.323993,0.0015
-3.70623,-1.301726,0.0015
-3.762985,-1.299552,0.0015
-3.750764,-1.277285,0.0015
-3.629423,-1.372928,0.0015
-3.617185,-1.35067,0.0015
-3.673938,-1.348451,0.0015
-3.661699,-1.326194,0.0015
-3.540394,-1.42188,0.0015
-3.528156,-1.399623,0.0015
-3.584908,-1.397404,0.0015
-3.57267,-1.375147,0.0015
-3.451365,-1.470833,0.0015
-3.439126,-1.448576,0.0015
-3.495879,-1.446357,0.0015
-3.483641,-1.424099,0.0015
-3.362323,-1.51977,0.0015
-3.35009,-1.49751,0.0015
-3.406844,-1.495304,0.0015
-3.39461,-1.473044,0.0015
-3.273283,-1.568703,0.0015
-3.26105,-1.546442,0.0015
-3.317803,-1.544236,0.0015
-3.30557,-1.521976,0.0015
-3.184243,-1.617635,0.0015
-3.17201,-1.595375,0.0015
-3.228763,-1.593169,0.0015
-3.21653,-1.570909,0.0015
-3.09519,-1.66655,0.0015
-3.082962,-1.644287,0.0015
-3.139716,-1.642095,0.0015
-3.127488,-1.619832,0.0015
-3.006138,-1.715461,0.0015
-2.99391,-1.693198,0.0015
-3.050664,-1.691006,0.0015
-3.038436,-1.668743,0.0015
-2.917086,-1.764372,0.0015
-2.904858,-1.742109,0.0015
-2.961612,-1.739917,0.0015
-2.949384,-1.717654,0.0015
-2.82802,-1.813265,0.0015
-2.815798,-1.791,0.0015
-2.872552,-1.788821,0.0015
-2.86033,-1.766555,0.0015
-2.738956,-1.862155,0.0015
-2.726734,-1.839889,0.0015
-2.783488,-1.83771,0.0015
-2.771266,-1.815444,0.0015
-2.649893,-1.911045,0.0015
-2.63767,-1.888779,0.0015
-2.694425,-1.8866,0.0015
-2.682202,-1.864334,0.0015
-2.560825,-1.959929,0.0015
-2.548604,-1.937663,0.0015
-2.605359,-1.935488,0.0015
-2.593138,-1.913221,0.0015
-2.471758,-2.008813,0.0015
-2.459537,-1.986546,0.0015
-2.516291,-1.984371,0.0015
-2.504071,-1.962105,0.0015
-2.382691,-2.057697,0.0015
-2.37047,-2.03543,0.0015
-2.427224,-2.033255,0.0015
-2.415003,-2.010988,0.0015
-2.293626,-2.106584,0.0015
-2.281404,-2.084318,0.0015
